Individual	PopName
Myi_miniatus_SMOcc4_110684	mod_SMOCC
Myi_miniatus_SMOcc4_110726	mod_SMOCC
Myi_miniatus_SMOcc5_114794	mod_SMOCC
Myi_miniatus_SMS_112593	mod_SMS
Myi_miniatus_SMS_114574	mod_SMS
Myi_miniatus_SMS_114581	mod_SMS
Myi_miniatus_SMS_115001	mod_SMS
Myi_miniatus_SMS_115012	mod_SMS
Myi_miniatus_TMVB_112405	mod_TMVB
Myi_miniatus_TMVB_112406	mod_TMVB
Myi_miniatus_TMVB_112407	mod_TMVB
Myi_miniatus_TMVB_115202	mod_TMVB
Myi_miniatus_TMVB_115219	mod_TMVB
Myi_miniatus_TMVB_115251	mod_TMVB
Myi_miniatus_XISTH_113477	mod_XISTH
Myi_miniatus_XISTH_116692	mod_XISTH
Myi_miniatus_XISTH_99926	mod_XISTH
